C,Mn,Al,Si,Fe,Z
1.12,29.6,10.46,0.0,58.82,8.540165346989745
1.2,12.0,0.0,0.0,86.8,10.265220177892168
1.2,22.0,0.0,0.0,76.8,10.046399815676269
1.2,30.5,2.1,0.0,66.2,9.024568688105045
1.2,30.5,8.0,0.0,60.3,9.434889057709972
1.27,28.4,8.3,0.25,61.780000000000015,8.194978796284538
1.47,0.0,0.0,0.0,98.53,2.666764401008371
1.48,0.0,0.0,0.0,98.52,2.4758890867259424
1.5,0.0,1.0,0.0,97.5,5.5575595503267445
1.5,0.5,1.6,0.0,96.4,7.274455047827583
1.56,0.0,0.0,0.0,98.44,4.420381418151506
1.58,0.43,1.65,0.4,95.93999999999998,7.4033680784839975
1.64,0.0,0.0,0.0,98.36,3.655187247680985
1.7,0.0,1.5,0.0,96.8,6.305437948533423
1.8,0.0,2.6,0.0,95.6,6.00569210926448
1.8,0.5,1.6,0.0,96.1,6.5642923825357675
2.0,30.0,9.5,0.0,58.5,10.167137472074536
3.35,0.3,0.0,2.25,94.1,3.532644274545119
3.41,0.12,0.0,3.2,93.27,3.4494188459646336
