C,Mn,Al,Si,Fe,UTS,UE,SDI
0.01,0,0,0.98,99.01,355.5,36.6,4.793918726
0.2,3,0.06,1.6,95.14,1445,9,8.077382604
0.2,3,0.06,1.6,95.14,1445,9,8.077382604
0.12,5.8,3.1,0.47,90.51,1161,11.2,6.813810422
0.11,1.55,1.5,0.059,96.781,564.9673548,22.99825718,4.74809514
0.32,1.42,0,1.56,96.7,1204.641422,10.73834717,6.997892175
0.06,1.54,0,1.02,97.38,686.9,18.8,5.025016206
0.19,1.59,0.036,1.63,96.554,1229,10.5,7.102215342
0.19,1.59,0.036,1.63,96.554,1088,11.8,6.491835591
0.2,0.951,0.041,1.56,97.248,670.9,19.1,4.9681995
0.199,0.94,0.041,2.1,96.72,670.9,19.1,4.9681995
0.32,1.42,0,1.56,96.7,1256.965068,10.18603736,7.21869283
0.092,4.6,0,0,95.308,977,13.1,6.033900783
0.11,4.86,0,0,95.03,777,16.4,5.286961071
1.58,0.43,1.65,0.4,95.94,1467.54613,8.68216,8.16600728
0.12,1.5,0.05,1.2,97.13,677,18.8,4.974709375
0.2,3,0.06,1.6,95.14,1271,10,7.274826154
0.1,6.38,0,0,93.52,1270.1,10,7.270252806
0.32,3.85,4.18,1.53,90.12,895.1,14.1,5.699350304
0.01,0,0,0.98,99.01,362.6,34.8,4.683073781
0.29,3,0,1.4,95.31,1433,8.8,8.000079785
0.16,3.95,0,0.5,95.39,1465,8.6,8.14636288
0.01,0,0,0.98,99.01,350.6,35.9,4.711882437
0.15,6,3,1.5,89.35,856,14.7,5.549638257
0.12,5.8,3.1,0.47,90.51,854,14.7,5.539475261
0.092,4.6,0,0,95.308,950,13.2,5.904862756
0.19,1.59,0.036,1.63,96.554,1334,9.4,7.545986004
0.17,1.63,0.036,0.28,97.884,1008,12.4,6.134290274
0.17,1.65,1.11,0.38,96.69,868,14.4,5.58612897
0.11,1.55,1.5,0.059,96.781,583.0674304,21.4096283,4.710400059
0.1,5.25,0,2.09,92.56,898,13.9,5.697761806
0.17,1.65,1.11,0.38,96.69,866.5,14.4,5.578506723
0.128,1.56,0.515,0.005,97.792,595.4105764,20.92495977,4.733561044
0.15,1.52,0.048,0.64,97.642,741.2,16.8,5.137693126
0.18,3.34,6.57,0,89.91,640,19.4,4.835668474
0.15,1.52,0.048,0.64,97.642,802.7,15.4,5.335931359
0.01,0,0,0.98,99.01,327.6,37.7,4.741931564
0.115,1.51,0.38,0.49,97.505,711.7104925,17.3510871,5.032824301
0.1,4.7,0,0,95.2,868.9,14.2,5.574377476
0.17,4.72,0,0,95.11,1326,9.3,7.497171599
0.115,1.51,0.38,0.49,97.505,631.8915297,19.48253212,4.801201918
0.17,2.07,0,0.57,97.19,1024,12,6.182944558
0.2,3,0.06,1.6,95.14,1228,10,7.056321737
0.175,2.1,0.024,0.31,97.391,775.2379917,15.8353963,5.231922098
0.19,1.59,0.036,1.63,96.554,1058,11.6,6.323065807
0.19,1.59,0.036,1.63,96.554,1086,11.3,6.440860489
0.19,1.59,0.036,1.63,96.554,1408,8.7,7.864879912
0.15,1.41,0,1.24,97.2,628,19.5,4.782852918
0.28,4.95,0.06,1.64,93.07,1113,11,6.553573673
0.82,0.03,0,2.01,97.14,1188.6,10.3,6.880597978
0.115,1.51,0.38,0.49,97.505,626.0329328,19.48253212,4.771431469
0.19,1.59,0.036,1.63,96.554,944,12.9,5.849886504
0.11,1.55,1.5,0.059,96.781,540.9475906,22.50724682,4.585960422
0.19,1.59,0.036,1.63,96.554,1368,8.9,7.677944832
0.195,1.55,0.04,1.21,97.005,764.9,15.9,5.184662839
0.19,1.59,0.036,1.63,96.554,1393,8.7,7.788657441
0.19,1.59,0.036,1.63,96.554,1424,8.5,7.929859038
0.19,1.59,0.036,1.63,96.554,1338,9,7.533662312
0.1,5.25,0,2.09,92.56,919,13.1,5.739173895
0.095,5.8,0.028,0.13,93.947,708,17,4.985312233
0.19,1.59,0.036,1.63,96.554,1432,8.4,7.962348602
0.23,1.6,0.05,0.74,97.38,1352.050083,8.87170667,7.594585937
0.19,1.59,0.036,1.63,96.554,1331,9,7.498091825
0.17,2.07,0,0.57,97.19,1196,10,6.8937138
0.19,1.59,0.036,1.63,96.554,1384,8.6,7.734761537
0.82,0.97,0,0.03,98.18,999.8,11.9,6.051809884
0.18,3.34,6.57,0,89.91,704,16.9,4.956823819
0.06,1.54,0,1.02,97.38,814.3,14.6,5.329577367
0.77,1.96,0,0.03,97.24,1794.3,6.6,9.656451766
1.58,0.43,1.65,0.4,95.94,930,12.72007,5.764058887
0.19,1.59,0.036,1.63,96.554,1390,8.5,7.757088104
0.1,3.5,0,0,96.4,836.2922116,14.11083193,5.401402789
0.19,1.59,0.036,1.63,96.554,1370,8.6,7.663620565
0.82,0.03,0,2.01,97.14,1929.7,6.1,10.3036745
0.05,12,3,0,84.95,827,14.2,5.361462707
0.203,1.25,0.042,1.24,97.265,655,17.9,4.789454627
0.79,2,0,1,96.21,976.5,12,5.9415734
1.7,0,1.5,0,96.8,1100,10.65141,6.459060814
0.19,1.59,0.036,1.63,96.554,1179,9.9,6.799165911
0.28,4.95,0.06,1.64,93.07,1165,10,6.73618736
0.19,1.59,0.036,1.63,96.554,1384,8.4,7.718436695
0.088,2.07,0.036,0.31,97.496,702.8082422,16.53249789,4.920770834
0.16,1.4,0,1.71,96.73,645,18,4.746802067
0.17,1.65,1.11,0.38,96.69,1044.6,11.1,6.214161627
0.128,1.56,0.515,0.005,97.792,624.3963308,18.53048513,4.685404993
0.79,2,0,1,96.21,1923.4,6,10.26349864
0.05,6.15,0,1.5,92.3,1213,9.5,6.93928716
0.3,4,1.82,0.6,93.28,858.8,13.4,5.457754976
0.35,1.1,4.1,0.38,94.07,814.5,14.1,5.28978156
0.195,4.52,1.3,0,93.985,683,16.8,4.841949939
0.092,4.6,0,0,95.308,955,12,5.832321192
0.19,1.59,0.036,1.63,96.554,1569,7.3,8.568727202
0.01,0,0,0.98,99.01,303.7,37.7,4.62048376
0.1,3.5,0,0,96.4,655.0692487,17.46849688,4.754585412
0.01,0,0,1,98.99,393,29,4.364130891
0.1,5.18,0.026,0.12,94.574,651,17.5,4.736478949
0.19,4.39,0.01,0,95.41,1353,8.4,7.560910255
0.12,4.6,1.1,0.55,93.63,988,11.5,5.959198522
0.29,2.95,0.06,1.59,95.11,874,13,5.502344061
0.128,1.56,0.515,0.005,97.792,576.0858648,19.72173631,4.537150393
0,0,0,0,100,283.5,40,4.705573188
0.12,4.89,1.52,0,93.47,667,17,4.776970812
0.19,1.59,0.036,1.63,96.554,1118,10.1,6.505519372
0.32,1.61,0.06,0.74,97.27,1960.102629,5.759768374,10.43039426
0.17,1.65,1.11,0.38,96.69,903,12.5,5.608895399
0.17,4.72,0,0,95.11,1252,9,7.096653479
0.19,1.59,0.036,1.63,96.554,1138,9.9,6.590824491
0.32,5.8,5,0,88.88,833.4,13.5,5.336847346
0.28,4.95,0.06,1.64,93.07,1124,10,6.527845939
0.1,1,0.0026,0.1,98.7974,697,16.1,4.855953963
0.17,1.41,0,1.07,97.35,630,17.8,4.654254754
0.115,1.54,0.91,0.02,97.415,544,20.6,4.445793715
0.115,1.54,0.91,0.02,97.415,544,20.6,4.445793715
0.12,0.87,0.02,0.25,98.74,840.1370513,13.31484531,5.355968553
0.06,1.54,0,1.02,97.38,788.6,14.1,5.158170761
0.1,4.91,0.008,2.04,92.942,1208,9.2,6.889392406
0.099,7.09,0.031,0.13,92.65,1368,8.1,7.612645462
0.19,1.59,0.036,1.63,96.554,1045,10.6,6.17538212
0.5,12,7,0,80.5,1064,10.4,6.255605741
0.05,5,0,0.2,94.75,863.1,12.8,5.43063089
0.16,1.47,0.046,1.42,96.904,754,14.6,5.023163034
0.17,3.3,1.7,0.22,94.61,957,11.5,5.801672082
0.2,2,0,1.5,96.3,1057,10.4,6.220035254
0.115,1.54,0.91,0.02,97.415,543,20.2,4.408062532
0.11,4.5,2.2,0.45,92.74,772,14.2,5.081980314
0.8,0.03,0,0.99,98.18,976.5,11.2,5.87627403
0.128,1.56,0.515,0.005,97.792,590.1435392,18.53048513,4.511349499
0.19,1.59,0.036,1.63,96.554,1071,10.2,6.274851385
0.29,2.95,0.06,1.59,95.11,910,12,5.603653779
0.19,1.59,0.036,1.63,96.554,1400,7.8,7.750766137
0.82,0.97,0,0.03,98.18,1705.8,6.4,9.190414346
0.2,3,0.06,1.6,95.14,1362,8,7.573994053
0.11,1.6,0.06,0.73,97.5,725.0447683,15.02737989,4.910911627
0.055,5.6,2.2,0.49,91.655,1008,10.8,6.003691534
0.32,1.42,0,1.56,96.7,1415.295661,7.68068055,7.818751654
0.77,1.96,0,0.03,97.24,1143.2,9.5,6.584598596
0.19,1.59,0.036,1.63,96.554,1097,9.9,6.382483071
0.18,3.34,6.57,0,89.91,635,17.1,4.622525296
0.2,3,0.06,1.6,95.14,1356,8,7.543505064
1.8,0,2.6,0,95.6,1010,10.7,6.005692109
0.19,1.59,0.036,1.63,96.554,1589,6.8,8.629545057
0.1,5.25,0,2.09,92.56,1385,7.8,7.674543666
0,0,0,0,100,269.7,40,4.635448514
0.1,4.5,0,0,95.4,1096,9.8,6.369239151
0.15,1.7,0,0.5,97.65,1052.764967,10.18603736,6.181050411
0.095,5.8,0.028,0.13,93.947,748,14.3,4.968186782
0.29,2.95,0.06,1.59,95.11,891,12,5.507105316
0.8,0.03,0,0.99,98.18,1162.1,9.2,6.656151646
0.78,0.03,0,0.03,99.16,568.2,18.8,4.421842386
0,0,0,0,100,250.8,42.5,4.743468732
0.088,2.07,0.036,0.31,97.496,571.4330268,18.6490749,4.425951863
0.29,2.95,0.06,1.59,95.11,888,12,5.491860822
0.11,1.6,0.06,0.73,97.5,708.5269619,15.02737989,4.826976425
0.19,1.59,0.036,1.63,96.554,1157,9.2,6.630236005
0.1,3.5,0,0,96.4,947.8136941,11.18218765,5.729050704
0.29,2.95,0.06,1.59,95.11,883,12,5.466453332
0.28,4.95,0.06,1.64,93.07,1177,9,6.715541124
0.1,3.5,0,0,96.4,586.4948126,18.05731017,4.454185968
0.1,5.18,0.026,0.12,94.574,846,12.5,5.31925001
0.29,2.95,0.06,1.59,95.11,881,12,5.456290336
0.01,0,0,0,99.99,296,35.7,4.418107801
0.29,2.95,0.06,1.59,95.11,880,12,5.451208838
0.19,1.59,0.036,1.63,96.554,1424,7.4,7.840072405
0.29,2.95,0.06,1.59,95.11,877,12,5.435964343
0.15,1,0.0026,0.1,98.7474,907,11.6,5.5557596
0.15,1.5,0.04,1.5,96.81,959.2642066,10.96004549,5.769104282
1.7,0,1.5,0,96.8,1050,10,6.151815083
0.29,2.95,0.06,1.59,95.11,874,12,5.420719849
0.1,0.7,0,0.2,99,654.8,16,4.633352324
0.29,2.95,0.06,1.59,95.11,873,12,5.415638351
0.17,1.65,1.11,0.38,96.69,986.3,10.6,5.877098184
0.12,0.87,0.02,0.25,98.74,907.4911825,11.51623503,5.551418294
0.16,1.39,0,1.96,96.49,600,17.4,4.469160127
0.05,12,3,0,84.95,777.8,13.4,5.046153633
0.25,4,1.88,0.6,93.27,913,11.4,5.569923746
0.19,4.39,0.01,0,95.41,1601,6.5,8.66603577
0.79,2,0,1,96.21,1702.7,6.1,9.150174438
0.29,2.95,0.06,1.59,95.11,865,12,5.374986367
0.28,4.95,0.06,1.64,93.07,1153,9,6.593585171
0.79,2,0,1,96.21,1914.1,5.4,10.16726618
0.1,4.7,0,0,95.2,764.1,13.5,4.984699531
1.8,0.5,1.6,0,96.1,1131,9.1,6.489954635
0.32,1.42,0,1.56,96.7,1285.135117,8.004207639,7.183748743
0.1,6.38,0,0,93.52,1350.5,7.6,7.48290714
0.1,6.38,0,0,93.52,1405.8,7.3,7.739426719
0.28,4.95,0.06,1.64,93.07,1135,9,6.502118206
0.28,4.95,0.06,1.64,93.07,1132,9,6.486873712
0.19,1.59,0.036,1.63,96.554,1143,8.9,6.534607769
0.128,1.56,0.515,0.005,97.792,548.8883297,18.53048513,4.301711232
0.092,5.91,0.028,0.017,93.953,781.2,13,5.030781042
0.1,5.25,0,2.09,92.56,914,11.1,5.550517981
0.82,0.97,0,0.03,98.18,790.9,12.8,5.06374673
0.19,1.59,0.036,1.63,96.554,1249,8.1,7.007947193
0.19,1.59,0.036,1.63,96.554,1385,7.3,7.63373156
0.1,6.38,0,0,93.52,808.7,12.5,5.129710132
0.7,10.4,9.7,0,79.2,763,13.2472616,4.95848031
1.5,0.5,1.6,0,96.4,1231.2,8.2,6.925658949
0.17,1.63,0.036,0.28,97.884,893,11.3,5.460131364
0.28,4.95,0.06,1.64,93.07,1118,9,6.415732739
0.2,3,0.06,1.6,95.14,1432,7,7.848074705
0.15,7,0,0.2,92.65,953.6,10.5,5.702770776
0.017,4.5,7.9,0,87.583,592.2,16.9,4.388712336
1.5,0.5,1.6,0,96.4,1041.8,9.6,6.077497114
0.01,0,0,1,98.99,294,34,4.269183644
0.29,2.95,0.06,1.59,95.11,908,11,5.511866571
0.78,0.03,0,0.03,99.16,761.2,13.1,4.937313502
0.6,18,1.5,0,79.9,1344.7,7.4,7.437109609
0.1,6.38,0,0,93.52,776.4,12.8,4.990065009
0.31,8.8,5.1,0,85.79,1090,9.1,6.281613214
0.12,0.87,0.02,0.25,98.74,784.8220959,12.63699183,5.019556459
0.79,2,0,1,96.21,1204.5,8.2,6.789982951
0.15,7,1,0.3,91.55,1566.7,6.3,8.475415545
0.19,4.99,0,1.98,92.84,1617,6.1,8.714690054
0.17,4.72,0,0,95.11,1059,9.3,6.140411617
0,0,0,0,100,483.9,20.3,4.115908418
0.12,0.87,0.02,0.25,98.74,992.2082108,9.855974592,5.846390258
0.1,4.5,0,0,95.4,1253,7.8,7.003785922
0.15,1.7,0,0.5,97.65,893.1057037,10.84914091,5.423867479
0.19,4.99,0,1.98,92.84,1064,9.1,6.149494265
0.2,3,0.06,1.6,95.14,1382,7,7.593999802
0.011,5.22,0.019,0.006,94.744,792,12.2,5.020361851
0.189,4.45,0.48,0,94.881,737,13.1,4.814341249
0.19,1.59,0.036,1.63,96.554,1135,8.5,6.4613061
0.16,1.47,0.046,1.42,96.904,725,13.3,4.769688114
0.77,1.96,0,0.03,97.24,1268.2,7.6,7.06469985
0.088,2.07,0.036,0.31,97.496,820.6588328,11.73949069,5.128402944
0.128,1.56,0.515,0.005,97.792,534.2578229,17.93931187,4.179112289
0.35,3.5,5.8,0,90.35,824,11.61629435,5.135325275
0.095,5.8,0.028,0.13,93.947,1181,8.1,6.662405325
0.2,5,0,0,94.8,934.7,10.2,5.582243199
0.17,5.6,1.2,0,93.03,1058.6,9,6.113891754
0.002,0.17,0,0.01,99.818,294.2,32.3,4.131438783
0.09,1.34,0,0.012,98.558,719.0711905,13.2015871,4.731528005
0.1,5.25,0,2.09,92.56,998,9.5,5.846765078
0.32,5.8,5,0,88.88,724,13,4.740119353
0.19,1.59,0.036,1.63,96.554,1219,7.7,6.822852567
0.14,7.39,1.55,0.2,90.72,919,10.2,5.50246368
0.15,7,1,0.3,91.55,1801.7,5.2,9.579780955
0.12,0.87,0.02,0.25,98.74,746.5046842,12.52441114,4.815657295
1.5,0.5,1.6,0,96.4,1460,6.4,7.941382123
0,0,0,0,100,214.8,43.5,4.642159014
0.77,1.96,0,0.03,97.24,849.2,11,5.213074485
0.05,6.15,0,1.5,92.3,1348,6.9,7.413066447
0.002,0.17,0,0.01,99.818,350.9,26.5,3.946139292
0.32,1.61,0.06,0.74,97.27,1887.204898,4.917065532,9.991179627
0.11,1.6,0.06,0.73,97.5,617.2443471,15.02737989,4.363123996
0.12,0.87,0.02,0.25,98.74,880.4068077,10.51709181,5.332234817
1.64,0,0,0,98.36,761.22182,12.15548,4.860328679
0.32,1.61,0.06,0.74,97.27,1699.496982,5.442964512,9.080268306
0.195,1.55,0.04,1.21,97.005,1467.2,6.3,7.969806488
0.16,4.7,1.6,0.22,93.32,1215,7.6,6.794364153
0.19,1.59,0.036,1.63,96.554,1510,6.1,8.170969762
0.1,0.7,0,0.2,99,568.3,16.2,4.210127584
0.28,4.95,0.06,1.64,93.07,1150,8,6.496716464
0.28,4.95,0.06,1.64,93.07,1145,8,6.471308974
0.12,0.87,0.02,0.25,98.74,972.4227811,9.417428371,5.710054646
0.002,0.17,0,0.01,99.818,321.9,28.4,3.953861852
0.175,2.1,0.024,0.31,97.391,978.8847637,9.308065633,5.73396455
0.052,1.61,0.033,0.77,97.535,507.8883287,17.93931187,4.045115755
0.12,0.87,0.02,0.25,98.74,838.9780853,10.84914091,5.148818091
1.8,0.5,1.6,0,96.1,1376.2,6.6,7.531877428
1.5,0.5,1.6,0,96.4,1374.2,6.6,7.521714432
0.12,5.13,0,0.009,94.741,762,11.9,4.843429646
0.19,4.39,0.01,0,95.41,737,12.3,4.749041879
0.12,4.6,1.1,0.55,93.63,1461,6.2,7.930138779
1.8,0.5,1.6,0,96.1,857.1,10.5,5.212406214
0.1,0.7,0,0.2,99,636.5,14.1,4.385274906
0.19,4.99,0,1.98,92.84,1855,4.8,9.817975116
0.189,4.45,0.48,0,94.881,781,11.4,4.899166003
0.77,1.96,0,0.03,97.24,1504.8,5.9,8.12822113
0.17,4.72,0,0,95.11,785,11.3,4.911329574
0.77,1.96,0,0.03,97.24,1673.5,5.3,8.936495325
0.11,4.86,0,0,95.03,760,11.6,4.808779386
0.1,0.7,0,0.2,99,667.6,13.2,4.469847705
0.77,1.96,0,0.03,97.24,1087.9,8.1,6.189317856
0.8,0.03,0,0.99,98.18,1631.8,5.4,8.732759277
0.17,1.65,1.11,0.38,96.69,988,8.9,5.74697557
0.12,5.13,0,0.009,94.741,785,11.2,4.903167152
0.12,0.87,0.02,0.25,98.74,909.3688341,9.636482208,5.407526233
0.82,0.03,0,2.01,97.14,1577.7,5.5,8.466012653
0.17,1.49,0.033,0.22,98.087,1005,8.6,5.808873773
0.16,3.95,0,0.5,95.39,1726,5,9.178786709
0.063,1.29,0.005,0.24,98.402,470.5239444,18.29366106,3.884172182
0.0035,0.1,6.81,0.008,93.0785,465,18.5,3.872944523
0.15,1.5,0.04,1.5,96.81,1004.278562,8.545580983,5.800765879
0.18,3.34,6.57,0,89.91,648,13.2,4.370250343
0.19,1.59,0.036,1.63,96.554,1155,7.4,6.473149427
0.12,0.87,0.02,0.25,98.74,728.313152,11.62780705,4.650032457
0.17,1.65,1.11,0.38,96.69,961,8.8,5.601612701
0.35,1.1,4.1,0.38,94.07,674.4,12.5,4.447264943
0.06,5.5,0.03,0.2,94.21,1014.6,8.3,5.833168891
0.195,4.52,1.3,0,93.985,711,11.8,4.576110823
0.1,4.5,0,0,95.4,710,11.8,4.571029325
0.7,12,5.5,0,81.8,1416.8,5.9,7.681049301
0.1,0.7,0,0.2,99,511.1,16.3,3.927628316
0.12,0.87,0.02,0.25,98.74,878.287869,9.417428371,5.231708273
0.12,0.87,0.02,0.25,98.74,802.3842798,10.29627851,4.917739782
0.2,3,0.06,1.6,95.14,1371,6,7.456479111
0.78,0.03,0,0.03,99.16,1060,7.7,6.014894376
0.17,2.07,0,0.57,97.19,1271,6.4,6.98097899
0.195,1.55,0.04,1.21,97.005,1448.6,5.6,7.818153675
0.011,5.22,0.019,0.006,94.744,825,9.8,4.992153178
0.09,1.34,0,0.012,98.558,792.2963934,10.18603736,4.857479859
0.195,4.52,1.3,0,93.985,849,9.5,5.089621867
0.06,5.5,0.03,0.2,94.21,1412.7,5.7,7.643890316
0.046,2.11,0.028,0.31,97.506,642.527246,12.52441114,4.287296145
0.046,2.11,0.028,0.31,97.506,604.2318112,13.2015871,4.147971922
0.17,1.65,1.11,0.38,96.69,1084,7.3,6.104200644
0.195,4.52,1.3,0,93.985,753,10.5,4.683422266
0.11,4.86,0,0,95.03,780,10.1,4.787973029
0.12,0.87,0.02,0.25,98.74,808.2286348,9.746173527,4.902535974
0.12,0.87,0.02,0.25,98.74,707.6550748,11.07106104,4.499614523
0.01,0,0,0,99.99,206,37.6,4.115858979
0.11,4.86,0,0,95.03,812,9.5,4.901606439
0.002,0.17,0,0.01,99.818,265,29,3.713699139
0.15,7,1,0.3,91.55,1667.5,4.6,8.848869388
0.12,0.87,0.02,0.25,98.74,681.7638832,11.18218765,4.377119106
0.16,3.95,0,0.5,95.39,1694,4.5,8.975366665
0.23,1.6,0.05,0.74,97.38,1099.789557,6.929547817,6.154197379
0.19,1.59,0.036,1.63,96.554,1463,5.2,7.858677562
0.05,12,3,0,84.95,938,8.1,5.427601297
0.195,1.55,0.04,1.21,97.005,1430.2,5.3,7.700166847
0.195,1.55,0.04,1.21,97.005,1427.9,5.3,7.688479402
1.5,0.5,1.6,0,96.4,1527,4.9,8.159406175
1.5,0,1,0,97.5,970,7.7,5.55755955
0.195,1.55,0.04,1.21,97.005,1434.8,5.2,7.715379317
0.19,1.59,0.036,1.63,96.554,1407,5.3,7.582276092
0.1,4.5,0,0,95.4,730,10.2,4.542060547
0.35,1.1,4.1,0.38,94.07,715.4,10.4,4.484195518
0.05,12,3,0,84.95,941,7.9,5.426520949
3.35,0.3,0,2.25,94.1,390,19,3.532644275
0.17,1.65,1.11,0.38,96.69,1102,6.7,6.146693082
0.17,1.49,0.033,0.22,98.087,1037,7.1,5.849045393
1.8,0.5,1.6,0,96.1,1290.5,5.7,7.022931254
0.09,1.34,0,0.012,98.558,859.5467375,8.545580983,5.065311393
0.12,0.87,0.02,0.25,98.74,744.6112995,9.855974592,4.588227034
0.12,0.87,0.02,0.25,98.74,855.8616496,8.545580983,5.046585626
0.82,0.97,0,0.03,98.18,1584.9,4.6,8.429137648
0.17,3.99,0.025,0.5,95.315,922,7.9,5.329972486
0.195,1.55,0.04,1.21,97.005,1009.2,7.2,5.715942168
0.04,0.13,9.74,0.007,90.083,626,11.6,4.127858646
0.12,0.87,0.02,0.25,98.74,815.6389085,8.87170667,4.868813598
0.002,0.15,0.058,0.002,99.788,296,24.4,3.495754203
0.18,3.34,6.57,0,89.91,631,11.4,4.136941294
0.8,0.03,0,0.99,98.18,1752.6,4.1,9.240492767
0.15,4.02,0.027,0.49,95.313,979,7.3,5.570643348
0.17,1.49,0.033,0.22,98.087,964,7.4,5.502583298
0.12,5.13,0,0.009,94.741,719,9.9,4.461676805
0.172,1.387,0,0.252,98.189,559.3189145,12.63699183,3.87366248
0.195,1.55,0.04,1.21,97.005,1102.9,6.4,6.126779166
0.2,3,0.06,1.6,95.14,1410,5,7.573033323
0.17,1.63,0.036,0.28,97.884,665,10.6,4.244412858
0.28,4.95,0.06,1.64,93.07,1174,6,6.455423993
0.19,1.59,0.036,1.63,96.554,1192,5.9,6.538728537
0.023,2.05,0.038,0.31,97.579,558.9898171,12.52441114,3.862800862
0.1,5.18,0.026,0.12,94.574,1028,6.8,5.778824647
0.2,3,0.06,1.6,95.14,1398,5,7.512055346
0.19,1.59,0.036,1.63,96.554,1483,4.7,7.919495418
0.195,1.55,0.04,1.21,97.005,1039.1,6.7,5.827066854
0.19,1.59,0.036,1.63,96.554,1785,3.9,9.388808461
0.11,2.132,0,0.639,97.119,730.4141687,9.526900526,4.48922393
0.78,0.03,0,0.03,99.16,1351.6,5.1,7.284436258
0.195,1.55,0.04,1.21,97.005,1059.7,6.5,5.915420871
0.15,1.4,0,0.26,98.19,470,14.6,3.580017585
0.12,5.13,0,0.009,94.741,753,9.1,4.569148369
0.7,10.4,9.7,0,79.2,877,7.8,5.093142652
0.1,5.25,0,2.09,92.56,1589,4.3,8.425484527
0.19,1.59,0.036,1.63,96.554,1307,5.2,7.065963865
0.15,1.7,0,0.5,97.65,1122.943437,5.971499571,6.193653845
0.195,1.55,0.04,1.21,97.005,1057.6,6.3,5.888424883
0.15,4.02,0.027,0.49,95.313,1008,6.6,5.660869843
0.23,1.6,0.05,0.74,97.38,1289.8671,5.127109638,6.972953447
0.7,10.4,9.7,0,79.2,671,9.810024595,4.210420726
0.088,2.07,0.036,0.31,97.496,903.4896115,7.250818125,5.182923024
0.19,1.59,0.036,1.63,96.554,1248,5.2,6.76615548
0.82,0.97,0,0.03,98.18,1118,5.8,6.15453526
0.19,4.02,0.031,0.5,95.259,942,6.8,5.341815814
0.004,29.99,1.98,4.06,63.966,1049,6,5.820236736
0.166,1.03,0,0.24,98.564,1069,5.87,5.91125555
0.0015,0.1,8.1,0.007,91.7915,527,11.9,3.649277602
0.17,1.49,0.033,0.22,98.087,870,7.2,5.008597638
0.19,1.59,0.036,1.63,96.554,1388,4.5,7.42042826
0,0,0,0,100,230.8,27,3.376663481
0.59,21.95,0.01,3.04,74.41,1351,4.6,7.240575253
0.19,4.02,0.031,0.5,95.259,1514,4.1,8.02804733
0.8,0.03,0,0.99,98.18,1405.8,4.4,7.502716504
0.12,5.13,0,0.009,94.741,1203,5.1,6.529325646
3.41,0.12,0,3.2,93.27,470,13,3.449418846
0.17,3.99,0.025,0.5,95.315,946,6.4,5.329492121
0.82,0.97,0,0.03,98.18,1405.8,4.3,7.494554083
0.12,5.13,0,0.009,94.741,1408,4.2,7.497570957
0.166,1.03,0,0.24,98.564,924,6.39,5.216882922
0.19,1.59,0.036,1.63,96.554,1440,4.1,7.652016474
0.17,1.65,1.11,0.38,96.69,995,5.9,5.53767342
0.09,1.34,0,0.012,98.558,891.9963,6.502683923,5.063453919
0.56,21.68,0,0.06,77.7,2122.6,2.7,11.00637315
0.19,4.39,0.01,0,95.41,781,7.3,4.564506732
0.29,2.95,0.06,1.59,95.11,1419,4,7.537142593
0.19,1.59,0.036,1.63,96.554,1410,4,7.491409111
0.12,4.89,1.52,0,93.47,1342,4.2,7.162192085
0.18,3.34,6.57,0,89.91,671,8.4,4.09532858
0.6,18,1.5,0,79.9,1649.2,3.4,8.657928919
0.166,1.03,0,0.24,98.564,691,8.09,4.171655035
0.19,1.59,0.036,1.63,96.554,1342,4.1,7.154029664
0.19,4.02,0.031,0.5,95.259,969,5.6,5.381067207
0.19,1.59,0.036,1.63,96.554,1446,3.7,7.649855777
0.17,3.99,0.025,0.5,95.315,1422,3.7,7.527899824
0.19,1.59,0.036,1.63,96.554,1362,3.8,7.231172362
0.195,4.52,1.3,0,93.985,911,5.6,5.086340319
0.15,7,1,0.3,91.55,995.2,5,5.465227928
0.166,1.03,0,0.24,98.564,835,5.94,4.727898699
0.15,4.02,0.027,0.49,95.313,1374,3.6,7.275825496
1.56,0,0,0,98.44,767.66275,6.36459,4.420381418
0.166,1.03,0,0.24,98.564,892,5.34,4.968569561
0.19,1.59,0.036,1.63,96.554,1424,3.3,7.505413135
0.7,10.4,9.7,0,79.2,971,4.8,5.325930833
0.17,1.49,0.033,0.22,98.087,633,7.3,3.81244502
0.28,4.95,0.06,1.64,93.07,1151,4,6.175301114
0.19,1.59,0.036,1.63,96.554,1443,3.1,7.585636756
0.19,1.59,0.036,1.63,96.554,1351,3.3,7.134463777
1.27,28.4,8.3,0.25,61.78,1456.8,3,7.647599008
0.29,2.95,0.06,1.59,95.11,1452,3,7.623207817
0.09,1.34,0,0.012,98.558,1004.89553,4.289447875,5.456497488
0.002,0.17,0,0.01,99.818,828.2,5,4.616617753
0.19,1.59,0.036,1.63,96.554,1398,2.9,7.340644501
0.8,0.03,0,0.99,98.18,1519,2.6,7.931018502
0.82,0.97,0,0.03,98.18,1272,3.1,6.716700588
0.14,7,0,0.22,92.64,1496,2.6,7.814144047
0.8,0.03,0,0.99,98.18,1920.5,2,9.922265445
0.82,0.03,0,2.01,97.14,2010.6,1.9,10.371946
0.19,1.59,0.036,1.63,96.554,1309,2.9,6.888391173
0.19,1.59,0.036,1.63,96.554,1368,2.7,7.171874716
0.19,1.59,0.036,1.63,96.554,1366,2.6,7.153549299
0.19,1.59,0.036,1.63,96.554,1380,2.5,7.216527851
0.8,0.03,0,0.99,98.18,1244,2.7,6.541768957
