C,Mn,Al,Si,Fe,UTS,UE
0.19,4.99,0.0,1.98,92.84,1064.0,9.1
0.19,4.99,0.0,1.98,92.84,1087.0,30.3
0.57,12.4,1.4,0.4,85.22999999999999,1175.0,17.0
0.57,12.4,1.4,0.4,85.22999999999999,930.0,26.0
0.57,12.4,1.4,0.4,85.22999999999999,910.0,32.3
0.57,12.4,1.4,0.4,85.22999999999999,925.0,40.3
0.57,12.4,1.4,0.4,85.22999999999999,870.0,42.5
0.57,12.4,1.4,0.4,85.22999999999999,800.0,44.7
0.57,12.4,1.4,0.4,85.22999999999999,770.0,51.0
0.57,12.4,1.4,0.4,85.22999999999999,710.0,44.7
0.2,4.88,3.11,0.62,91.19,842.0,54.7
0.2,4.88,3.11,0.62,91.19,866.0,54.9
0.2,4.88,3.11,0.62,91.19,897.0,50.9
0.2,4.88,3.11,0.62,91.19,931.0,50.1
0.2,4.88,3.11,0.62,91.19,1006.0,46.2
0.2,4.88,3.11,0.62,91.19,1054.0,43.9
0.083,4.62,0.0,0.0,95.297,805.0,22.4
0.083,4.62,0.0,0.0,95.297,877.0,23.2
0.083,4.62,0.0,0.0,95.297,887.0,21.1
0.083,4.62,0.0,0.0,95.297,947.0,20.4
0.083,4.62,0.0,0.0,95.297,855.0,21.5
0.083,4.62,0.0,0.0,95.297,922.0,21.3
0.083,4.62,0.0,0.0,95.297,978.0,18.9
0.083,4.62,0.0,0.0,95.297,959.0,19.3
0.2,4.72,0.0,0.0,95.08,1040.1,29.7
0.2,4.72,0.0,0.0,95.08,1054.2,29.5
0.2,4.72,0.0,0.0,95.08,1180.3,27.3
0.2,4.72,0.0,0.0,95.08,1208.1,25.6
0.2,4.72,0.0,0.0,95.08,1250.4,27.1
0.2,4.72,0.0,0.0,95.08,1304.9,32.7
0.15,7.0,0.0,0.2,92.64999999999999,953.6,10.5
0.15,7.0,0.0,0.2,92.64999999999999,1216.0,23.4
0.15,7.0,0.0,0.2,92.64999999999999,1281.1,15.7
0.15,7.0,0.0,0.2,92.64999999999999,984.2,29.3
0.15,7.0,0.0,0.2,92.64999999999999,1113.8,26.0
0.15,7.0,0.0,0.2,92.64999999999999,1200.0,28.9
0.15,7.0,0.0,0.2,92.64999999999999,1156.8,29.4
0.15,7.0,0.0,0.2,92.64999999999999,1284.6,19.1
0.15,7.0,1.0,0.3,91.55,1667.5,4.6
0.15,7.0,1.0,0.3,91.55,1801.7,5.2
0.15,7.0,1.0,0.3,91.55,995.2,5.0
